timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections
2026-04-05T18:16:09.260,9.96,99.84,79.3,78.9,0.0,10
2026-04-05T18:16:09.368,9.98,99.16,79.3,78.9,0.0,9
2026-04-05T18:16:09.478,9.97,100.58,79.3,78.9,0.0,9
2026-04-05T18:16:09.586,9.95,102.69,79.3,79.7,0.0,10
2026-04-05T18:16:09.693,9.98,97.45,79.3,79.7,0.0,8
2026-04-05T18:16:09.798,9.98,100.16,79.3,79.7,0.0,7
2026-04-05T18:16:09.903,9.99,98.65,79.3,79.7,0.0,8
2026-04-05T18:16:10.011,10.01,98.52,79.3,79.7,0.0,8
2026-04-05T18:16:10.117,10.0,100.54,79.3,78.1,0.0,7
2026-04-05T18:16:10.226,10.0,100.51,79.3,78.1,0.0,7
2026-04-05T18:16:10.337,9.98,101.52,79.3,78.1,0.0,7
2026-04-05T18:16:10.446,9.98,100.35,79.3,78.1,0.0,6
2026-04-05T18:16:10.554,9.98,99.86,79.3,78.1,0.0,7
2026-04-05T18:16:10.664,9.98,100.43,79.3,81.4,0.0,6
2026-04-05T18:16:10.769,9.98,100.05,79.3,81.4,0.0,6
2026-04-05T18:16:10.875,10.01,97.21,79.3,81.4,0.0,6
2026-04-05T18:16:10.984,10.0,100.86,79.3,81.4,0.0,6
2026-04-05T18:16:11.093,9.96,103.79,79.3,80.8,0.0,6
2026-04-05T18:16:11.193,10.02,94.69,79.3,80.8,0.0,6
2026-04-05T18:16:11.298,10.02,100.21,79.3,80.8,0.0,6
2026-04-05T18:16:11.403,10.03,98.08,79.3,80.8,0.0,6
2026-04-05T18:16:11.507,10.05,98.2,79.3,80.8,0.0,7
2026-04-05T18:16:11.619,10.01,103.05,79.3,80.0,0.0,7
2026-04-05T18:16:11.727,10.02,99.11,79.3,80.0,0.0,7
2026-04-05T18:16:11.835,10.01,100.98,79.3,80.0,0.0,6
2026-04-05T18:16:11.947,9.96,104.54,79.3,80.0,0.0,5
2026-04-05T18:16:12.048,10.04,92.39,79.3,80.0,0.0,5
2026-04-05T18:16:12.158,9.99,104.9,79.3,82.2,0.0,5
2026-04-05T18:16:12.269,9.92,107.0,79.3,82.2,0.0,5
2026-04-05T18:16:12.391,9.81,112.31,79.3,82.2,0.0,4
2026-04-05T18:16:12.508,9.74,109.3,79.3,82.2,0.0,5
2026-04-05T18:16:12.633,9.61,116.95,79.3,91.4,0.0,5
2026-04-05T18:16:12.752,9.55,109.67,79.3,91.4,0.0,5
2026-04-05T18:16:12.869,9.53,107.78,79.3,91.4,0.0,5
2026-04-05T18:16:12.986,9.5,107.89,79.3,91.4,0.0,5
2026-04-05T18:16:13.090,9.55,99.31,79.3,91.4,0.0,5
2026-04-05T18:16:13.205,9.58,102.0,78.9,85.3,0.0,4
2026-04-05T18:16:13.313,9.59,103.45,78.9,85.3,0.0,4
2026-04-05T18:16:13.422,9.63,99.91,78.9,85.3,0.0,4
2026-04-05T18:16:13.529,9.68,98.57,78.9,85.3,0.0,3
2026-04-05T18:16:13.637,9.68,102.81,78.8,82.0,0.0,2
2026-04-05T18:16:13.739,9.74,97.52,78.8,82.0,0.0,2
2026-04-05T18:16:13.845,9.75,100.85,78.8,82.0,0.0,1
2026-04-05T18:16:13.951,9.76,102.04,78.8,82.0,0.0,1
2026-04-05T18:16:14.053,9.83,94.59,78.8,82.0,0.0,2
2026-04-05T18:16:14.160,9.83,102.17,78.8,80.6,0.0,2
2026-04-05T18:16:14.267,9.86,98.68,78.8,80.6,0.0,3
2026-04-05T18:16:14.370,9.92,94.8,78.8,80.6,0.0,2
2026-04-05T18:16:14.475,9.95,97.69,78.8,80.6,0.0,3
2026-04-05T18:16:14.578,9.97,98.77,78.8,80.6,0.0,2
2026-04-05T18:16:14.687,9.97,100.25,78.8,80.6,0.0,4
2026-04-05T18:16:14.795,9.98,99.74,78.8,80.6,0.0,2
2026-04-05T18:16:14.903,9.98,100.37,78.8,80.6,0.0,2
2026-04-05T18:16:15.012,9.98,99.64,78.8,80.6,0.0,2
2026-04-05T18:16:15.120,9.98,100.0,78.8,80.5,0.0,3
2026-04-05T18:16:15.226,10.0,98.53,78.8,80.5,0.0,3
2026-04-05T18:16:15.331,10.0,100.2,78.8,80.5,0.0,4
2026-04-05T18:16:15.437,10.02,97.76,78.8,80.5,0.0,3
2026-04-05T18:16:15.544,10.02,100.13,78.8,80.5,0.0,3
2026-04-05T18:16:15.653,10.01,100.53,78.8,82.0,0.0,3
2026-04-05T18:16:15.758,10.01,100.07,78.8,82.0,0.0,2
2026-04-05T18:16:15.862,10.05,95.93,78.8,82.0,0.0,4
2026-04-05T18:16:15.965,10.06,98.15,78.8,82.0,0.0,3
2026-04-05T18:16:16.069,10.1,95.64,78.8,82.0,0.0,3
2026-04-05T18:16:16.177,10.08,100.83,78.9,78.9,0.0,3
2026-04-05T18:16:16.284,10.06,101.76,78.9,78.9,0.0,4
2026-04-05T18:16:16.394,10.04,101.27,78.9,78.9,0.0,3
2026-04-05T18:16:16.500,10.06,97.85,78.9,78.9,0.0,4
2026-04-05T18:16:16.602,10.07,98.01,78.9,78.9,0.0,3
2026-04-05T18:16:16.713,10.04,102.54,78.8,80.6,0.0,3
2026-04-05T18:16:16.837,9.88,115.62,78.8,80.6,0.0,3
2026-04-05T18:16:16.949,9.85,104.27,78.8,80.6,0.0,4
2026-04-05T18:16:17.054,9.88,98.17,78.8,80.6,0.0,5
2026-04-05T18:16:17.173,9.79,110.28,78.9,82.8,0.0,4
2026-04-05T18:16:17.288,9.75,106.53,78.9,82.8,0.0,7
2026-04-05T18:16:17.394,9.81,96.17,78.9,82.8,0.0,6
2026-04-05T18:16:17.501,9.85,98.24,78.9,82.8,0.0,6
2026-04-05T18:16:17.609,9.88,98.37,78.9,82.8,0.0,6
2026-04-05T18:16:17.716,9.88,101.44,78.8,82.6,0.0,6
2026-04-05T18:16:17.832,9.81,108.08,78.8,82.6,0.0,6
2026-04-05T18:16:17.940,9.83,99.75,78.8,82.6,0.0,6
2026-04-05T18:16:18.048,9.86,98.72,78.8,82.6,0.0,5
2026-04-05T18:16:18.359,8.2,306.89,78.9,83.7,0.0,7
2026-04-05T18:16:18.470,8.34,101.35,78.9,83.7,0.0,5
2026-04-05T18:16:18.578,8.49,98.52,78.9,83.7,0.0,7
2026-04-05T18:16:18.687,8.6,103.05,78.8,83.6,0.0,7
