timestamp,fps,latency_ms,ram_usage_percent,cpu_usage_percent,temperature,num_detections,confidence_score_avg,frame_drop_rate_percent
2026-04-19T14:44:38.180,38.88,25.77,80.3,38.0,0.0,6,0.4576,7.98
2026-04-19T14:44:38.221,38.89,25.69,80.3,38.0,0.0,7,0.4337,7.96
2026-04-19T14:44:38.261,38.86,25.92,80.3,38.0,0.0,6,0.533,7.94
2026-04-19T14:44:38.302,38.78,26.22,80.3,38.0,0.0,6,0.4705,7.92
2026-04-19T14:44:38.343,38.84,25.41,80.3,38.0,0.0,6,0.4209,7.9
2026-04-19T14:44:38.382,39.01,24.64,80.3,38.0,0.0,7,0.4658,7.88
2026-04-19T14:44:38.423,39.06,25.28,80.3,38.0,0.0,5,0.4525,7.86
2026-04-19T14:44:38.463,39.11,25.29,80.3,38.0,0.0,6,0.4802,7.83
2026-04-19T14:44:38.503,39.15,25.3,80.4,37.7,0.0,5,0.5299,7.81
2026-04-19T14:44:38.547,38.65,28.86,80.4,37.7,0.0,6,0.5332,7.81
2026-04-19T14:44:38.587,38.73,25.3,80.4,37.7,0.0,6,0.5352,7.79
2026-04-19T14:44:38.627,38.8,25.37,80.4,37.7,0.0,6,0.5141,7.77
2026-04-19T14:44:38.667,38.85,25.46,80.4,37.7,0.0,5,0.4742,7.75
2026-04-19T14:44:38.709,38.68,26.89,80.4,37.7,0.0,7,0.4497,7.74
2026-04-19T14:44:38.749,38.78,25.13,80.4,37.7,0.0,6,0.5106,7.71
2026-04-19T14:44:38.790,38.62,26.86,80.4,37.7,0.0,5,0.5074,7.7
2026-04-19T14:44:38.831,38.58,26.17,80.4,37.7,0.0,5,0.5147,7.68
2026-04-19T14:44:38.871,38.66,25.36,80.4,37.7,0.0,4,0.6035,7.66
2026-04-19T14:44:38.912,38.64,26.03,80.4,37.7,0.0,4,0.5386,7.65
2026-04-19T14:44:38.952,38.71,25.38,80.4,37.7,0.0,6,0.4799,7.63
2026-04-19T14:44:38.992,38.81,25.17,80.4,50.9,0.0,4,0.5743,7.61
2026-04-19T14:44:39.033,38.81,25.78,80.4,50.9,0.0,5,0.6032,7.59
2026-04-19T14:44:39.072,38.93,25.0,80.4,50.9,0.0,6,0.5835,7.56
2026-04-19T14:44:39.113,38.85,26.17,80.4,50.9,0.0,5,0.614,7.55
2026-04-19T14:44:39.154,38.81,26.04,80.4,50.9,0.0,5,0.5476,7.53
2026-04-19T14:44:39.196,38.72,26.39,80.4,50.9,0.0,4,0.6378,7.52
2026-04-19T14:44:39.238,38.48,27.38,80.4,50.9,0.0,3,0.7178,7.52
2026-04-19T14:44:39.278,38.6,25.2,80.4,50.9,0.0,3,0.7553,7.49
2026-04-19T14:44:39.317,38.7,25.26,80.4,50.9,0.0,4,0.6816,7.47
2026-04-19T14:44:39.358,38.71,25.76,80.4,50.9,0.0,3,0.6986,7.45
2026-04-19T14:44:39.397,38.7,25.92,80.4,50.9,0.0,4,0.6328,7.43
2026-04-19T14:44:39.437,38.79,25.21,80.4,50.9,0.0,3,0.7737,7.41
2026-04-19T14:44:39.478,38.85,25.41,80.4,42.2,0.0,5,0.6218,7.39
2026-04-19T14:44:39.518,38.72,26.58,80.4,42.2,0.0,4,0.6792,7.38
2026-04-19T14:44:39.559,38.76,25.59,80.4,42.2,0.0,4,0.6955,7.36
2026-04-19T14:44:39.599,38.84,25.22,80.4,42.2,0.0,4,0.7836,7.34
2026-04-19T14:44:39.640,38.72,26.56,80.4,42.2,0.0,6,0.6433,7.33
2026-04-19T14:44:39.680,38.8,25.29,80.4,42.2,0.0,4,0.7275,7.31
2026-04-19T14:44:39.720,38.83,25.55,80.4,42.2,0.0,6,0.6007,7.29
2026-04-19T14:44:39.762,38.6,27.31,80.4,42.2,0.0,6,0.5609,7.28
2026-04-19T14:44:39.803,38.59,25.96,80.4,42.2,0.0,4,0.5704,7.27
2026-04-19T14:44:39.844,38.64,25.57,80.4,42.2,0.0,5,0.4694,7.25
2026-04-19T14:44:39.885,38.59,26.22,80.4,42.2,0.0,2,0.5871,7.24
2026-04-19T14:44:39.925,38.49,26.58,80.4,42.2,0.0,3,0.5011,7.22
2026-04-19T14:44:39.965,38.63,25.07,80.4,42.2,0.0,4,0.5634,7.2
2026-04-19T14:44:40.006,38.66,25.7,80.0,45.4,0.0,3,0.6542,7.19
2026-04-19T14:44:40.047,38.54,26.62,80.0,45.4,0.0,3,0.6452,7.18
2026-04-19T14:44:40.088,38.51,26.18,80.0,45.4,0.0,2,0.7679,7.16
2026-04-19T14:44:40.129,38.47,26.26,80.0,45.4,0.0,3,0.6837,7.15
2026-04-19T14:44:40.169,38.51,25.71,80.0,45.4,0.0,3,0.641,7.13
2026-04-19T14:44:40.210,38.57,25.53,80.0,45.4,0.0,4,0.657,7.12
2026-04-19T14:44:40.251,38.49,26.48,80.0,45.4,0.0,3,0.7117,7.11
2026-04-19T14:44:40.290,38.63,25.03,80.0,45.4,0.0,3,0.7306,7.08
2026-04-19T14:44:40.331,38.52,26.64,80.0,45.4,0.0,3,0.7575,7.07
2026-04-19T14:44:40.372,38.5,26.06,80.0,45.4,0.0,3,0.7393,7.06
2026-04-19T14:44:40.417,37.98,29.59,80.0,45.4,0.0,3,0.7575,7.07
2026-04-19T14:44:40.460,37.83,27.33,80.0,45.4,0.0,4,0.6242,7.07
2026-04-19T14:44:40.503,37.63,27.89,80.5,54.6,0.0,3,0.6201,7.07
2026-04-19T14:44:40.544,37.68,26.22,80.5,54.6,0.0,3,0.6626,7.06
2026-04-19T14:44:40.584,37.88,25.1,80.5,54.6,0.0,2,0.7324,7.04
2026-04-19T14:44:40.624,37.87,26.45,80.5,54.6,0.0,2,0.7025,7.02
2026-04-19T14:44:40.665,37.8,26.91,80.5,54.6,0.0,2,0.7464,7.01
2026-04-19T14:44:40.707,37.85,26.09,80.5,54.6,0.0,2,0.7175,7.0
2026-04-19T14:44:40.748,37.74,27.18,80.5,54.6,0.0,2,0.7046,6.99
2026-04-19T14:44:40.790,37.59,27.55,80.5,54.6,0.0,2,0.5601,6.99
2026-04-19T14:44:40.836,37.05,30.51,80.5,54.6,0.0,2,0.5714,7.0
2026-04-19T14:44:40.878,36.97,27.55,80.5,54.6,0.0,1,0.8053,7.0
2026-04-19T14:44:40.919,37.11,26.03,80.5,54.6,0.0,1,0.8235,6.99
2026-04-19T14:44:40.960,37.23,26.09,80.5,54.6,0.0,1,0.8438,6.98
2026-04-19T14:44:41.002,37.22,26.92,80.6,54.8,0.0,1,0.3952,6.97
2026-04-19T14:44:41.042,37.41,25.5,80.6,54.8,0.0,1,0.3504,6.95
2026-04-19T14:44:41.083,37.54,25.85,80.6,54.8,0.0,0,0.0,6.94
2026-04-19T14:44:41.124,37.55,26.55,80.6,54.8,0.0,1,0.2702,6.93
2026-04-19T14:44:41.165,37.63,26.09,80.6,54.8,0.0,1,0.4103,6.92
2026-04-19T14:44:41.207,37.55,27.12,80.6,54.8,0.0,1,0.429,6.91
2026-04-19T14:44:41.246,37.77,25.06,80.6,54.8,0.0,1,0.3,6.89
2026-04-19T14:44:41.287,37.92,25.42,80.6,54.8,0.0,1,0.2931,6.88
2026-04-19T14:44:41.326,38.06,25.42,80.6,54.8,0.0,2,0.4471,6.86
2026-04-19T14:44:41.368,38.02,26.55,80.6,54.8,0.0,2,0.4998,6.85
2026-04-19T14:44:41.408,38.07,25.97,80.6,54.8,0.0,2,0.3676,6.84
2026-04-19T14:44:41.448,38.21,25.28,80.6,54.8,0.0,1,0.3825,6.82
2026-04-19T14:44:41.491,37.84,28.73,80.6,54.8,0.0,1,0.3513,6.82
2026-04-19T14:44:41.532,37.91,25.91,80.7,50.8,0.0,0,0.0,6.81
2026-04-19T14:44:41.576,37.39,30.07,80.7,50.8,0.0,1,0.3028,6.82
2026-04-19T14:44:41.618,37.33,27.2,80.7,50.8,0.0,2,0.3624,6.81
2026-04-19T14:44:41.659,37.52,25.43,80.7,50.8,0.0,2,0.4334,6.8
2026-04-19T14:44:41.701,37.42,27.37,80.7,50.8,0.0,2,0.315,6.79
2026-04-19T14:44:41.742,37.5,26.14,80.7,50.8,0.0,0,0.0,6.78
2026-04-19T14:44:41.782,37.55,26.28,80.7,50.8,0.0,1,0.3611,6.77
2026-04-19T14:44:41.823,37.63,26.1,80.7,50.8,0.0,1,0.2834,6.75
2026-04-19T14:44:41.863,37.78,25.49,80.7,50.8,0.0,0,0.0,6.74
2026-04-19T14:44:41.905,37.69,27.11,80.7,50.8,0.0,0,0.0,6.74
2026-04-19T14:44:41.946,37.7,26.49,80.7,50.8,0.0,0,0.0,6.73
2026-04-19T14:44:41.988,37.69,26.55,80.7,50.8,0.0,0,0.0,6.72
2026-04-19T14:44:42.028,37.81,25.74,80.7,53.0,0.0,0,0.0,6.71
2026-04-19T14:44:42.069,37.84,26.19,80.7,53.0,0.0,1,0.365,6.69
2026-04-19T14:44:42.111,37.68,27.54,80.7,53.0,0.0,2,0.2962,6.69
2026-04-19T14:44:42.151,37.98,24.49,80.7,53.0,0.0,0,0.0,6.67
2026-04-19T14:44:42.190,38.15,25.16,80.7,53.0,0.0,0,0.0,6.65
2026-04-19T14:44:42.229,38.24,25.57,80.7,53.0,0.0,0,0.0,6.64
2026-04-19T14:44:42.271,38.19,26.48,80.7,53.0,0.0,0,0.0,6.63
2026-04-19T14:44:42.311,38.31,25.35,80.7,53.0,0.0,0,0.0,6.61
2026-04-19T14:44:42.356,37.68,30.53,80.7,53.0,0.0,0,0.0,6.62
2026-04-19T14:44:42.396,37.65,26.71,80.7,53.0,0.0,0,0.0,6.61
2026-04-19T14:44:42.436,37.9,24.79,80.7,53.0,0.0,1,0.3156,6.59
2026-04-19T14:44:42.476,38.02,25.59,80.7,53.0,0.0,1,0.3525,6.58
2026-04-19T14:44:42.516,38.22,24.91,80.7,59.9,0.0,0,0.0,6.56
2026-04-19T14:44:42.557,38.13,26.78,80.7,59.9,0.0,1,0.3875,6.56
2026-04-19T14:44:42.600,37.9,27.79,80.7,59.9,0.0,2,0.3873,6.56
2026-04-19T14:44:42.640,38.1,25.0,80.7,59.9,0.0,2,0.3001,6.54
2026-04-19T14:44:42.681,38.06,26.56,80.7,59.9,0.0,1,0.2943,6.53
2026-04-19T14:44:42.721,38.18,25.41,80.7,59.9,0.0,2,0.3589,6.52
2026-04-19T14:44:42.761,38.27,25.6,80.7,59.9,0.0,5,0.3306,6.5
2026-04-19T14:44:42.803,38.14,27.02,80.7,59.9,0.0,3,0.4375,6.5
2026-04-19T14:44:42.851,37.16,33.15,80.7,59.9,0.0,4,0.3524,6.53
2026-04-19T14:44:42.892,37.3,25.86,80.7,59.9,0.0,2,0.5031,6.52
2026-04-19T14:44:42.932,37.49,25.45,80.7,59.9,0.0,1,0.4681,6.5
2026-04-19T14:44:42.975,37.33,27.81,80.7,59.9,0.0,3,0.2911,6.5
2026-04-19T14:44:43.017,37.29,27.11,80.7,45.8,0.0,3,0.4812,6.5
2026-04-19T14:44:43.058,37.4,26.01,80.7,45.8,0.0,3,0.4383,6.49
2026-04-19T14:44:43.099,37.36,26.99,80.7,45.8,0.0,4,0.3178,6.48
2026-04-19T14:44:43.140,37.46,26.05,80.7,45.8,0.0,2,0.5595,6.47
2026-04-19T14:44:43.181,37.56,26.05,80.7,45.8,0.0,2,0.3681,6.46
2026-04-19T14:44:43.223,37.52,26.91,80.7,45.8,0.0,3,0.5018,6.46
2026-04-19T14:44:43.264,37.6,26.09,80.7,45.8,0.0,3,0.5303,6.45
2026-04-19T14:44:43.304,37.72,25.71,80.7,45.8,0.0,3,0.4419,6.44
